Time (s),Actual Speed (km/h),Target Speed (km/h)
0.02,0.00,0.00
0.07,0.00,0.00
0.13,0.00,0.00
0.17,0.00,0.00
0.22,0.00,0.00
0.28,0.00,0.00
0.32,0.00,0.00
0.38,0.00,0.00
0.42,0.00,0.00
0.47,0.00,0.00
0.52,0.00,0.00
0.58,0.00,0.00
0.62,0.00,0.00
0.67,0.00,0.00
0.73,0.00,0.00
0.77,0.00,0.00
0.83,0.00,0.00
0.88,0.00,0.00
0.92,0.00,0.00
0.98,0.00,0.00
1.02,0.00,0.00
1.07,0.00,0.00
1.12,0.00,0.00
1.17,0.00,0.00
1.22,0.00,0.00
1.28,0.00,0.00
1.33,0.00,0.00
1.37,0.00,0.00
1.42,0.00,0.00
1.48,0.00,0.00
1.52,0.00,0.00
1.58,0.00,0.00
1.63,0.00,0.00
1.67,0.00,0.00
1.72,0.00,0.00
1.77,0.00,0.00
1.83,0.00,0.00
1.87,0.00,0.00
1.92,0.00,0.00
1.98,0.00,0.00
2.02,0.00,0.00
2.08,0.00,0.00
2.13,0.00,0.00
2.18,0.00,0.00
2.22,0.00,0.00
2.27,0.00,0.00
2.32,0.00,0.00
2.37,0.00,0.00
2.43,0.00,0.00
2.48,0.00,0.00
2.53,0.00,0.00
2.58,0.00,0.00
2.63,0.00,0.00
2.68,0.00,0.00
2.72,0.00,0.00
2.77,0.00,0.00
2.83,0.00,0.00
2.87,0.00,0.00
2.93,0.00,0.00
2.97,0.00,0.00
3.03,0.00,0.00
3.07,0.00,0.00
3.12,0.00,0.00
3.18,0.00,0.00
3.23,0.00,0.00
